"","MEgreen","MEdarkturquoise","MEorange","MEbrown","MEsaddlebrown","MEdarkgrey","MEmagenta","Mean"
"Meta2_Pacu",-0.191757424892898,-0.243120242401284,-0.0383197842008954,-0.334913203003399,-0.111276737822757,-0.348353329132516,-0.330427500724074,-0.228309746025403
"Meta3_Pacu",-0.237678310419755,-0.150610867623623,-0.0805794806395305,-0.117500145728586,0.00371481128422103,-0.169484307414768,-0.159882467686567,-0.130288681175516
"Spat1_Pacu",-0.0500839693584104,-0.0493508572812565,-0.257332211735956,0.247317825940965,0.259106669295106,0.122821359837652,0.0494476765599735,0.0459894990368675
"Spat2_Pacu",-0.079624911836349,-0.0107205355972902,-0.226587993437941,0.247392241954555,0.259317882376537,0.129000947592697,0.0534127941300613,0.0531700607403244
"Spat3_Pacu",-0.0310547346861969,-0.0280544294512729,-0.235573244934825,0.239680164916858,0.234340854217512,0.154749530143873,0.0797126895084805,0.0591144042449183
"Larva1_Spis",0.0841984106694354,-0.0376082321366359,-0.0708443927051046,-0.112906896459442,-0.143312391007183,-0.0141029271727445,0.0205294467453253,-0.0391495688666214
"Larva2_Spis",0.289876690963694,-0.466288461149477,-0.188225673341503,-0.177652808520985,-0.38123030934056,-0.199219009397889,-0.0601296279531549,-0.168981314105696
"Larva3_Spis",0.181005717324663,-0.0395693959367219,-0.0860884915027455,-0.103870765617641,-0.111778080545641,-0.0483809689890948,0.0606487832133995,-0.0211476002933975
"Meta1_Spis",-0.274350759084622,-0.155637181873366,-0.120604538535245,-0.126492591353768,-0.0105619568793154,-0.177322292648212,-0.241666064263789,-0.158090769234045
"Meta2_Spis",0.0409443027282529,0.106564941415602,0.228356429669239,-0.0598879585386849,0.0798390672034006,-0.145267370900288,-0.257868271588728,-0.00104555143017231
"Meta3_Spis",0.100385816276861,0.135294430837,0.197487826969963,0.0458693043890785,0.130279291463748,-0.0449044280259813,-0.0433379157980097,0.0744391894446655
"Spat1_Spis",-0.066133944459944,0.0935820913711897,0.0236205369465324,0.144350620311486,0.0875135404119212,0.184738458018988,0.169241620815021,0.0909875604878849
"Spat2_Spis",-0.123723766012081,0.108471475642739,0.00105578382292398,0.16767035746246,0.122127607000666,0.180137502151846,0.174032634475797,0.089967370649193
"Spat3_Spis",-0.167095994047151,0.112704212414675,-0.014722849914376,0.155741541855819,0.129052053805548,0.178070934801992,0.146152418981426,0.0771289025568476
