Orthogroup,GeneID,AH1,AH2,AH3,AH4,AH5,AH6,AH7,AH8,AH9
OG0009927,Montipora_capitata_HIv3___RNAseq.g44591.t1,8.4164604525465,8.603541353223095,8.750625245741583,8.665299563983432,8.614807804545428,8.774413127055888,7.968486195638014,7.411353598348016,7.571177527574596
OG0009928,Montipora_capitata_HIv3___RNAseq.g25160.t1,4.666650626067652,4.624928191160866,4.690883821080148,4.719658911187078,4.952540674253453,4.6814095025470195,3.864059150156062,4.08010858636342,4.475462726556623
OG0009929,Montipora_capitata_HIv3___TS.g19055.t2,2.4719814335658388,2.0464708095757898,2.107288485309577,2.474289919015474,2.480330205946697,2.1888090468895904,3.2139911473289176,3.2249528991515235,3.394174788922391
OG0009930,Montipora_capitata_HIv3___RNAseq.g43743.t1,6.7913251706248925,6.812639424820464,6.755437784618481,6.9027471358649795,6.999584794168953,6.846349513075938,4.228695982604929,4.442473329768463,3.973573433930524
OG0009931,Montipora_capitata_HIv3___RNAseq.g19190.t1,4.482565362821316,4.499005790898794,4.595622422546309,5.449785091014664,5.499200948876123,5.360550446071073,4.179709354886401,4.354200490368422,4.012705105019421
OG0009932,Montipora_capitata_HIv3___RNAseq.g22746.t1b,3.7949801269543046,3.85703276520584,3.8137199110071034,3.6095256602390897,3.648442899191484,3.527424848461772,3.5614158666398943,3.540497021733054,3.7353816217637
OG0009933,Montipora_capitata_HIv3___RNAseq.g45071.t1,4.374539669779805,4.290475036558119,4.392646975809197,4.8758674535652196,4.530923389992094,4.936802683858046,4.296272881221349,4.346988712680187,4.665327486624881
OG0009934,Montipora_capitata_HIv3___RNAseq.g47191.t1a,5.792441238721737,5.781299373741492,5.617714174490167,5.626217806581387,5.8282544487375825,5.781575266840743,3.94681225918367,4.594378380417202,5.023554965161292
OG0009935,Montipora_capitata_HIv3___RNAseq.g50205.t1,1.0646552717972146,0.40310023748375534,0.26375791949093186,0.48065886069654856,0.5017721460459944,0.8354875629366382,2.8085443476083336,2.748365308677842,3.3811861101988328
OG0009936,Montipora_capitata_HIv3___RNAseq.g4585.t1,7.090809056399666,7.302882384957734,7.303500913813435,7.220009887051184,7.197424313328683,7.166586164885791,7.201171320807605,7.1612874055815645,7.087277317663408
OG0009937,Montipora_capitata_HIv3___RNAseq.190_t,4.493347384368265,4.3025111066519015,4.341210592849712,4.443839202966369,4.69756609776009,4.582012076890847,2.0037305343268605,2.280083748333501,2.327703419320093
OG0009938,Montipora_capitata_HIv3___TS.g4168.t1,0.7692437455813672,0.5324776558026698,0.8525164946993719,0.2300948349091946,0.6717332690837975,0.5863155207504028,1.0821887380023985,1.549628445566159,1.3581511244365871
OG0009939,Montipora_capitata_HIv3___RNAseq.g45559.t1,4.151078446762846,3.86758383958144,4.056495159683824,4.098587923383214,4.341195123236996,4.090445671645541,2.0410754006614193,2.7157900301222075,3.138426122559824
OG0009940,Montipora_capitata_HIv3___TS.g15993.t2,5.442760945019838,5.425275287943487,5.478430911089859,5.206018765671069,5.394794697530908,5.4252112033314095,4.789532202301395,4.936296504394442,5.373909019661687
OG0009941,Montipora_capitata_HIv3___TS.g14585.t3,8.860334341130686,8.853051683863603,8.769877919183065,8.957366434561061,8.758988912209276,8.919996048929354,8.12543715806554,8.479885151818962,8.391046110172244
OG0009942,Montipora_capitata_HIv3___RNAseq.g11554.t1,5.773041855996423,5.6813257662027405,5.590681134037804,5.7398271573763555,5.66736099176619,5.687465301865475,5.403201291641649,5.454416911883795,5.53785378873949
OG0009943,Montipora_capitata_HIv3___RNAseq.g39012.t1,3.893357939394003,3.8331400155345383,3.937409069661328,4.064947446586385,4.241960656900682,4.1672574904194635,2.4404572613901063,3.377106003911115,3.442645109058873
OG0009944,Montipora_capitata_HIv3___TS.g18863.t2,6.3029590822019355,6.260999365761114,6.278216221109167,6.229545088344482,6.31100789039349,6.093302546089411,5.415824189123647,5.705756681732059,5.674471097997351
OG0009945,Montipora_capitata_HIv3___RNAseq.g33761.t1,5.899442205842114,5.839899402040681,6.1751911157935835,6.0808238092693205,6.107330629232469,5.986542071902748,5.907160771191918,5.803107346518047,5.696053825677833
OG0009946,Montipora_capitata_HIv3___TS.g24504.t1c,8.613802020709112,8.748763154559553,8.807324149150014,8.919204564255102,8.96841537423791,8.882046201972164,7.528388677205584,7.581772242857648,7.926950231986362
OG0009947,Montipora_capitata_HIv3___RNAseq.g42704.t1,2.6712353517130905,2.506459031747814,2.3004907127402063,2.22057195095443,2.4176176948867316,2.2597174610444304,3.3331577425329577,2.99683112371006,3.5557003322627883
OG0009948,Montipora_capitata_HIv3___RNAseq.g3011.t1,7.550877368905213,7.394327098467128,7.40271429535926,7.545366473156095,7.465483056962533,7.39499043135269,4.533655270690783,4.827707894753114,4.995292235083598
OG0009949,Montipora_capitata_HIv3___RNAseq.g13393.t1,5.558257867299134,5.466986917824917,5.547029145530809,5.340430074259313,5.5061991027660495,5.481267015116609,6.094470821045525,6.055039095691412,5.8054567213537425
OG0009950,Montipora_capitata_HIv3___RNAseq.g41698.t1,0.48838978001918504,0.8019925706613231,0.7493981580912116,0.45272792650506105,0.7538288788729182,0.27243936137213676,2.015582298748347,2.11135598937122,2.2370322825418967
OG0009951,Montipora_capitata_HIv3___TS.g5316.t1,3.603192767959809,3.5352607499003077,3.545929825612236,3.370338720596502,3.286163345781433,3.407669126816746,3.675957407336296,4.104540873578913,4.636052178476453
OG0009952,Montipora_capitata_HIv3___RNAseq.g50151.t2b,2.533937538458354,2.3765117190212455,2.9155672244794073,2.9984820320735968,3.0556235950831265,2.978596845634141,3.173643349777567,3.17035807473735,3.3162265919339537
OG0009953,Montipora_capitata_HIv3___RNAseq.g13105.t1,5.064749786275459,5.148223643001144,5.1824659484158895,5.015054172087283,4.925807940099386,4.999376351058044,4.492461054801464,4.650983037566408,4.793568630162052
OG0009954,Montipora_capitata_HIv3___RNAseq.g44769.t1,4.361341591204284,4.365290111535399,4.317545162415756,4.496607050353803,4.642432346975426,4.290244007140806,1.4583552322447813,0.9481727563162378,2.8450777561189593
OG0009955,Montipora_capitata_HIv3___RNAseq.g14850.t1,0.1455383821971269,0,0,0,0,0,0.8825779643948297,1.3777575799737112,1.332299753921232
OG0009956,Montipora_capitata_HIv3___RNAseq.g50194.t1,8.116224439187484,8.283394260156745,8.321445216727946,7.806722362681401,7.855392384343287,7.768142662770212,5.6703193588656235,5.59810448204653,6.037080675956359
OG0009957,Montipora_capitata_HIv3___RNAseq.g6719.t2,3.4447769190174333,3.4240588104718435,3.1894026965617033,3.3984560194170066,3.167915498513183,3.4150921033207604,3.4937129976873886,3.6794653330111826,3.8576343619306503
OG0009958,Montipora_capitata_HIv3___TS.g11132.t1,4.6277747727735035,4.563794351796087,4.407877392642997,4.076160378279009,4.091057156158601,4.119634091413428,3.742360665638193,4.560219959939657,4.568271417009058
