Orthogroup,GeneID,DRR318288,DRR318289,DRR318291,DRR318293,DRR318294,DRR318295,DRR318297,DRR318298,DRR318299
OG0008751,aten_0.1.m1.34706,2.2194972298511786,2.370597205017673,1.6358580916136665,1.7334196069083627,3.1407863747029254,2.3033380440596702,1.8320226121806096,2.052747060013914,1.8901871054872188
OG0008752,aten_0.1.m1.37041,1.577628852904572,1.9758954257490504,1.873068692786305,1.2103348886693377,1.2272491647831938,1.29405809398108,1.7736253933305683,1.825392404414949,1.4256640369634683
OG0008753,aten_0.1.m1.23148,1.9233428357145272,3.523037629370893,1.642125154576331,3.153246086144914,0.462020594140764,2.970461980345013,0.7052332025310571,2.6512105992737514,0.6274589011609452
OG0008754,aten_0.1.m1.15428,4.416927230375385,4.570135766261465,4.640238754126154,3.0392035879564703,3.3167247634067234,3.2130816017667168,5.220766451943422,5.3152851512757975,5.1713747826116885
OG0008755,aten_0.1.m1.17878,7.928533101555407,8.272396059480561,7.982074103808826,8.170484793260309,8.135961429698286,7.68813281832433,7.582385617490596,7.5898787341062,8.018748835169811
OG0008756,aten_0.1.m1.12628,6.397615994082835,6.36651791623578,6.467280924755985,5.955198519109098,6.224504641963082,6.236571083466251,6.134924068920793,6.503037081722703,6.077865516930947
OG0008757,aten_0.1.m1.5631,6.857192341231987,6.8730824539185,6.941622055984201,6.988130125084266,6.789862419120143,6.689152074040452,6.341940915347067,6.274367482287201,6.238386296459879
OG0008758,aten_0.1.m1.16422,4.109460944093432,4.236005447767753,3.986502963896219,3.4259448382261524,4.065056365842547,3.8672532130005504,4.795819976339563,4.375183208114952,4.313285488279453
OG0008759,aten_0.1.m1.23000,4.194050356476244,5.046697368659997,4.356427219423525,4.529859656224992,4.223290091560253,5.1496000114464895,3.854873121020378,3.1040097579176673,4.494026222565365
OG0008760,aten_0.1.m1.20538,5.816983468691081,5.799804857827554,6.117345440322012,5.465759224915136,5.690463726072103,5.545281233833214,5.397294328460069,5.101401374350444,5.096879797681423
OG0008761,aten_0.1.m1.15626,3.4416823182723086,3.4081745537601287,3.955656639940388,3.082500415251557,3.2158879882158753,3.3604946822337425,1.8327307925682663,2.422217066232318,2.340501146439064
OG0008762,aten_0.1.m1.757,8.725041094205146,8.73943106066893,8.504012687241875,8.254061321639668,8.42187824596449,8.382843526825155,7.241132393465126,7.409368386267424,6.99672994166529
OG0008763,aten_0.1.m1.14849,5.584929785107965,5.681595425070025,4.982905025413311,5.2628929131267945,5.2279676421716506,4.806650617785222,5.91928322284629,5.96543595860713,5.968780682113985
OG0008764,aten_0.1.m1.21173,8.70627813026328,8.69669253276899,8.942353551939464,8.433927844531725,8.632749600302127,8.610977617097483,7.217449365536631,7.210454016453644,7.059540328195152
OG0008765,aten_0.1.m1.21383,3.680823015741484,3.514690001485452,3.6687042085555697,2.8235832282252153,3.7274198998624977,2.615182503445424,3.789028008807,3.819812419498077,3.6249810982533694
OG0008766,aten_0.1.m1.6293,5.256435255015642,5.459302654406092,5.300484818615754,4.297576525417272,4.44725371422543,4.485640946829766,5.018417801783416,5.0447876426766065,5.5834105773774745
OG0008767,aten_0.1.m1.36857,5.521259067295339,5.4801982989545035,5.5228688371664445,5.054500732360228,4.888549708746251,4.937929351657111,4.905447992318629,5.0067281353249165,5.026518306294008
OG0008768,aten_0.1.m1.23105,5.6162994110253495,5.629478523608044,5.732449108465337,5.1722632914641284,5.126575435832126,5.172803892029311,5.235489902882421,5.099776429007643,5.359254399637953
