Orthogroup,GeneID,SRR14333319,SRR14333320,SRR14333321,SRR14333322,SRR14333323,SRR14333324,SRR14333325,SRR14333326,SRR14333327
OG0011208,SpisGene13149,6.5788297754225455,7.006176739526433,7.021504865986144,5.39238769182672,4.383634612330264,6.183370279121859,6.341056384435006,6.696704600439201,6.187726700190796
OG0011209,SpisGene2288,1.4687381619117439,1.4999904838023703,1.7058207315727942,1.2993042748921506,2.3725118367590317,2.022567595166969,0,1.249028683047802,0
OG0011210,SpisGene1559,4.53734277382719,4.549235856501184,4.44003537883675,4.002846054967391,3.6463751209346817,4.789477036889815,3.3551209776675965,4.005872383528061,3.609994265455739
OG0011211,SpisGene12803,3.269230758787496,3.93690257873585,3.5918927882573564,2.828038345141468,3.7280389225319777,4.378135268676872,2.516649020852406,0,2.2698084413102193
OG0011212,SpisGene1883,2.3903972770959787,1.942756547337846,4.060508084395512,2.915751300919922,0,3.486835461851052,3.1367621255016904,2.458884129290839,2.1086030729647813
OG0011213,SpisGene621,2.6683664749428404,2.9533172809839843,3.053497805593369,0.7431086595908141,1.1919221534231164,0.6828994857776924,1.6407300158791498,0.2125411744061605,1.6342506966528572
OG0011214,SpisGene9338,4.053784005783286,3.965867643007581,4.419352808120561,3.9636265518554032,5.285509463034897,4.459556075190456,3.207350074259978,2.342975339689414,2.8413589665730763
OG0011215,SpisGene16286,1.995313202811314,2.2853056948007486,2.9428072145531505,0.6824453690944284,1.3277472953322225,0.6017556456314238,0,0,0
OG0011216,SpisGene9445,11.845546458846703,11.41346193078395,11.5681303810995,10.795962171922309,11.01651044303381,11.783364100844798,12.062445705189935,10.632691430873862,11.83784066650618
OG0011217,SpisGene3786,2.7498235088730305,1.9750540288908296,3.597236257727383,4.812832636446203,2.3637540197437845,0,0,2.5185719694641677,0
OG0011218,SpisGene15981,2.7172956874350604,2.9388414901429973,3.6800559665877146,2.761495502592802,4.585439423032313,4.4265918097786745,1.3350685842488506,1.4793954234729167,1.5732087575741975
OG0011219,SpisGene2759,5.546645078211789,5.611468333480112,5.9102276751655936,4.260159439364472,4.451893415083703,4.483384991877267,4.130888754502879,2.864324003327871,3.6700776059452114
OG0011220,SpisGene17056,2.357304384428474,3.140798800291447,3.328686628147437,0,1.2350375306724424,2.832895510858805,0,0,0
OG0011221,SpisGene3698,3.0135641337342616,3.308749925686126,3.902753298621551,2.649565587151112,3.8107813490178577,3.1730920564422025,1.6125125774332072,1.1749621507632588,1.735567434002729
OG0011222,SpisGene12507,6.802847860002611,7.074311833581442,7.193094209219461,7.170910352082252,6.238918414556925,6.294255186235308,6.402594494039137,5.614376558548916,6.226460221893964
OG0011223,SpisGene273,6.06343424575242,6.198180040736428,6.594666527532368,7.792737942160405,7.142440492545354,6.315159620280971,5.1884068722998284,6.7856253088560585,5.55369281148092
OG0011224,SpisGene10181,6.08530687553637,6.408347557022683,6.445400130263275,6.127894335955947,5.782287485796016,6.04866386103763,5.903590289769713,5.804071252714203,5.582456772000703
OG0011225,SpisGene5258,5.333224149053192,5.304001150620302,6.044586669558525,5.601668163074766,3.309907269724012,2.973839971825353,1.7319177956760634,2.371657201476862,2.7853562329805124
OG0011226,SpisGene12479,5.045524732362761,5.353801299150692,5.507402391359705,4.778976090131213,4.742659068710324,4.200109885963312,2.905658716041137,2.5998039938592297,2.926147725472098
OG0011227,SpisGene741,3.43189780482204,3.278928285686131,2.8390002131736307,0,0.9615848990630348,3.025715085633754,0,0,0
OG0011228,SpisGene8462,2.0777289700179637,2.0194231936343927,1.8679064529721088,1.221115125560608,0,2.318163658375352,1.4394385851549965,0,0
OG0011229,SpisGene17641,3.6670663078198897,3.0399895486697397,3.517007466064287,7.353117177103205,9.183335382663843,7.00628099894141,1.972733772970158,3.916054287755932,3.2432255727415016
OG0011230,SpisGene12545,2.799786731530669,2.886799104687615,2.793938207981915,3.237824399508489,2.6963217572434424,0,0,0,2.7341346778076185
