"","MElightyellow","MEdarkred","MEturquoise","MEroyalblue","MEsalmon","MEbisque4","MEmidnightblue","MEpaleturquoise","MEblack","MEpink","MEpurple","MEdarkmagenta","MEblue","MEskyblue3","Mean"
"Larva2_Mcap",-0.16459340963989,-0.149612098287653,-0.139083642072778,-0.132968302664668,-0.164366831954186,-0.161165887080891,-0.113476912402595,-0.154795195694608,-0.174672359645413,-0.148166843255195,-0.144071127185434,-0.208145322314631,-0.151561301609459,-0.169237826384685,-0.155422647156577
"Larva3_Mcap",-0.166279069935405,-0.126867851261925,-0.131617774619357,-0.121453580476187,-0.149335085448662,-0.135029540635827,-0.116774937381881,-0.143776434587718,-0.166750989884704,-0.156952935759497,-0.136049358791892,-0.189172905456613,-0.14434336211093,-0.169894256912602,-0.146735577375943
"Meta1_Mcap",-0.191051719845796,-0.179199130997051,-0.174479618341764,-0.155868894560247,-0.187716272313197,-0.123293146795844,-0.168433415229023,-0.141676536111457,-0.143592801365907,-0.183435804018802,-0.147087878537754,-0.0816720097573975,-0.164267398198501,-0.167557503437013,-0.157809437822125
"Meta2_Mcap",-0.17757748701137,-0.167590290622256,-0.164998632533842,-0.177856497832487,-0.190929729905841,-0.102312260779084,-0.181495604254337,-0.150861750138933,-0.132273467955612,-0.18882542984615,-0.165008938416043,-0.0877555980431226,-0.145317825360936,-0.151237124984387,-0.156002902691743
"Meta3_Mcap",-0.181856246241879,-0.168991859280351,-0.163302103061592,-0.156441443491679,-0.184415076802819,-0.107372308743015,-0.1550975816755,-0.126960623040713,-0.130361235442886,-0.187924722969766,-0.152571310569409,-0.0818126036892649,-0.150172631447649,-0.164059433457313,-0.150809941422417
"Spat1_Mcap",0.418588177363558,0.428340694757927,0.384644455539873,0.493334221935974,0.514066366308665,0.494339323169868,0.412242053650975,0.414437916730161,0.28223803288165,0.45174188765307,0.429815454678347,0.31002418148626,0.326181165976508,0.382797638488308,0.41019939790151
"Spat2_Mcap",0.428070976772114,0.450323248196641,0.396734271973212,0.332023467006157,0.440120594583334,0.333329817780422,0.323663488195016,0.32397144517895,0.337499306407316,0.447900759457571,0.342454366271427,0.349101394437218,0.350865857117445,0.396129349020679,0.37515631017125
"Spat3_Mcap",0.270617020261559,0.151845077059936,0.273966527570387,0.127901371158673,0.193362157556514,0.0172186569370925,0.151027506597438,0.20168268634123,0.324828281719932,0.209904502871028,0.178997494146336,0.212652866144021,0.367325040935548,0.289272051415606,0.212185802908236
"Larva1_Pacu",0.100539976123085,0.215574095257633,0.125082212879513,0.0187865602504944,-0.00945312434917328,0.236124990697567,0.26596145863056,0.198773868951287,-0.207641019681316,-0.0482861518328786,-0.0949652552240112,-0.209015796624776,-0.129156459242648,-0.215481684097455,0.0176316908384202
"Larva2_Pacu",0.110965467046358,0.236143261619856,0.179370247105518,-0.0376412037331046,-0.015597075660908,0.180216445702392,0.193293541795859,0.210356498879062,-0.180793933856373,-0.0588804458063882,-0.109166586419019,-0.168784161337815,-0.0855780147480137,-0.186149662135167,0.0191253127465897
"Larva3_Pacu",0.157658580306256,0.255016923673927,0.154744433641937,-0.0919752929717493,-0.0273875414469352,0.186074058449165,0.125407847050732,0.130843721313076,-0.173215771508671,-0.0414752143591183,-0.142177253061986,-0.172667317930815,-0.103831055586717,-0.164353599065334,0.00661875132169779
"Meta1_Pacu",-0.222381997040687,-0.0683529162773281,-0.246313307877104,0.148659143962579,0.218422574325479,0.0830943496997215,-0.0987397157171643,-0.1883392953519,0.0736191958212744,0.20587359612855,0.199633393998416,0.188514137368657,-0.131905481889974,0.052282751612365,0.0152904591973489
"Meta2_Pacu",-0.256838074967181,-0.0794437455128192,-0.28410233479988,0.272098696532879,0.215671510178084,0.0824591361483742,-0.0184268682260495,-0.210707059265519,0.0297008007201143,0.230209797460946,0.242831212556266,0.111866879086668,-0.163752161409023,-0.000700804958375906,0.0122047845388917
"Meta3_Pacu",-0.0689450043399345,0.0209675526375813,-0.114370085539803,0.0537789477436909,0.176423063620122,-0.00721079808207226,-0.162105101688762,-0.160583832914399,0.0921353421590884,0.159612420248527,0.0694488591416786,0.0772310459568008,-0.0195673209248002,0.0637583900665583,0.0128981055774483
"Spat1_Pacu",0.0455747675795247,-0.203738727269673,0.0585871175089571,-0.103045375202428,-0.186621242011721,-0.254126426682634,-0.0989973301862598,0.00172134714871558,0.121560718807387,-0.159286749631018,-0.0513306775751891,0.0522789222324702,0.210013379472793,0.14103321270394,-0.0304555045075097
"Spat2_Pacu",0.0668953467274992,-0.177593372871366,0.0659970033597065,-0.16041774000956,-0.195361588686018,-0.273647241214358,-0.144989921684694,-0.0240037713487204,0.129458503624178,-0.155940546315443,-0.0759943519487559,0.0401981947069372,0.210599621504513,0.156025630705381,-0.0384838738179072
"Spat3_Pacu",0.0693333690931648,-0.190546435588054,0.0921831783949241,-0.119345612723087,-0.178939545621356,-0.218813087963177,-0.0804275705417945,0.0226978768679601,0.116824163005111,-0.123473852713172,-0.0566519928040261,0.0647284553256367,0.254223043144638,0.139729241710974,-0.0148913407437326
"Larva1_Spis",0.0060902024359988,0.0904472856687531,0.00241492701880872,0.141454230849991,0.0557478625335095,-0.012264339309216,0.30356611910683,0.124536094788656,-0.118429943055121,0.026522339682788,0.00347378995082132,-0.122154857327988,-0.149712805076382,-0.0622011919510633,0.0206778368083133
"Larva2_Spis",-0.103436658140647,-0.0776800092584142,-0.146766890730495,0.343468455445315,-0.0347916534357847,0.170061836820949,0.244273231617527,0.3212065732534,-0.150610860575765,-0.141739276036152,0.0775648418132485,-0.0577804694846423,-0.198199672221288,-0.16874609881123,0.00548738216114434
"Larva3_Spis",-0.0347001915625769,0.0245751569455211,-0.0222517572305259,0.167503989557451,-0.0232256284699096,0.132780379946537,0.267788607437297,0.220177883067253,-0.140517292297819,-0.0362675435519114,-0.0189011337457617,-0.135613237873957,-0.121849154722406,-0.120985493430147,0.0113224702906459
"Meta1_Spis",-0.0621690365785996,-0.107745353284317,-0.167636940541735,0.180711757627675,-0.00653949376408212,-0.240773092506566,0.0360700417737528,-0.161557371157582,0.159997828440252,-0.0195560486954267,0.281295760722629,0.173980274373717,-0.120966571201557,0.188748465746788,0.00956144435392485
"Meta2_Spis",-0.0680784477990642,-0.0932694994677195,-0.124395975323632,-0.156883656937087,-0.0586734578255056,0.125714274000156,-0.145887292971453,-0.0675098078495306,0.116230565044202,-0.0448041341057036,0.132044618596285,0.178968022789628,-0.109641393008282,0.110884551802216,-0.0146644023611064
"Meta3_Spis",-0.0408923360293492,-0.084745153008474,-0.0543771062092463,-0.132727854642959,-0.0844328152938574,0.143588241804937,-0.107474195256733,-0.0017709354328344,-0.0301658556708761,-0.0223006473554809,-0.000348614168775007,0.00417551766124065,0.00299769437536003,0.025997675914112,-0.0273197416652097
"Spat1_Spis",0.0727389351648507,0.0724097089212802,0.12165646415491,-0.112805470232266,0.0422647867983836,-0.0713395382840984,-0.111380599447829,-0.0943598915551442,0.0191513251469887,0.0445121640995673,-0.144127686174529,-0.00911504167322266,0.15532398070831,-0.0307524923215028,-0.00327309676387868
"Spat2_Spis",0.0915625262411253,0.0942460675948143,0.13161826407067,-0.173045240984838,0.047951065685975,-0.0926967964872955,-0.204100738737226,-0.116550143992213,0.0381665811563214,0.073566233285169,-0.154357276226331,-0.0245273264990626,0.167946860977042,0.0119895418022356,-0.00773074157954381
"Spat3_Spis",0.101996253477198,0.0764403771410436,0.120932294095202,-0.182995288127489,0.0578991558639967,-0.127690525273201,-0.205208404037196,-0.16572411457169,0.0699292100190883,0.0647625273980754,-0.145483563962714,-0.0172590618238397,0.173962892305872,0.0224111075814266,-0.0111447957081592
