Orthogroup	Montipora_gene	Pocillopora_gene	Spis_gene
OG0001758	Montipora_capitata_HIv3___RNAseq.g30421.t1b	Pocillopora_acuta_HIv2___RNAseq.g30676.t1	Spis8594
OG0001763	Montipora_capitata_HIv3___TS.g46131.t2	Pocillopora_acuta_HIv2___RNAseq.g1066.t1	Spis21029
OG0001765	Montipora_capitata_HIv3___RNAseq.g4797.t1	Pocillopora_acuta_HIv2___TS.g6120.t1	Spis2474
OG0001771	Montipora_capitata_HIv3___RNAseq.g49866.t1	Pocillopora_acuta_HIv2___RNAseq.g2816.t1	Spis18014
OG0001781			
OG0001801	Montipora_capitata_HIv3___TS.g47938.t1	Pocillopora_acuta_HIv2___TS.g15327.t1	Spis9684
OG0001803	Montipora_capitata_HIv3___RNAseq.g44111.t3	Pocillopora_acuta_HIv2___RNAseq.g14721.t1	Spis3402.t1
OG0001804	Montipora_capitata_HIv3___RNAseq.g12613.t1	Pocillopora_acuta_HIv2___RNAseq.g24868.t1	Spis5869
OG0001811	Montipora_capitata_HIv3___RNAseq.g34917.t1	Pocillopora_acuta_HIv2___RNAseq.g23747.t1	Spis1112
OG0001813	Montipora_capitata_HIv3___RNAseq.g9335.t1	Pocillopora_acuta_HIv2___TS.g17647.t1	Spis2153.t2
OG0001815	Montipora_capitata_HIv3___RNAseq.g25496.t1	Pocillopora_acuta_HIv2___RNAseq.g28054.t1	Spis3865
OG0001821	Montipora_capitata_HIv3___RNAseq.g15854.t1	Pocillopora_acuta_HIv2___RNAseq.g15735.t1	
OG0001822			
OG0001823	Montipora_capitata_HIv3___RNAseq.g17825.t2	Pocillopora_acuta_HIv2___RNAseq.g27331.t1	Spis5254
OG0001825	Montipora_capitata_HIv3___TS.g40030.t1	Pocillopora_acuta_HIv2___RNAseq.g3172.t1	Spis8425.t2
OG0001832	Montipora_capitata_HIv3___TS.g36109.t1	Pocillopora_acuta_HIv2___RNAseq.g7229.t1	Spis6874
OG0001837			
OG0001845	Montipora_capitata_HIv3___RNAseq.g45578.t1	Pocillopora_acuta_HIv2___RNAseq.g15648.t1	Spis17522
OG0001846	Montipora_capitata_HIv3___RNAseq.g48852.t1a	Pocillopora_acuta_HIv2___RNAseq.g7831.t1	Spis1812
OG0001847	Montipora_capitata_HIv3___RNAseq.g19951.t1	Pocillopora_acuta_HIv2___RNAseq.g26731.t2	Spis5340
OG0001853			
OG0001856	Montipora_capitata_HIv3___RNAseq.g34212.t3	Pocillopora_acuta_HIv2___RNAseq.g18550.t3	Spis1445.t1
OG0001858			
OG0001864	Montipora_capitata_HIv3___TS.g34103.t1	Pocillopora_acuta_HIv2___RNAseq.g11307.t2	Spis3037
OG0001869	Montipora_capitata_HIv3___RNAseq.g4873.t1	Pocillopora_acuta_HIv2___RNAseq.g7631.t1	Spis20626
OG0001873	Montipora_capitata_HIv3___RNAseq.g43876.t1	Pocillopora_acuta_HIv2___RNAseq.g7009.t1	
OG0001878	Montipora_capitata_HIv3___RNAseq.g12081.t1	Pocillopora_acuta_HIv2___TS.g22484.t4	Spis10711.t1
OG0001879	Montipora_capitata_HIv3___RNAseq.g26658.t1	Pocillopora_acuta_HIv2___TS.g10243.t2	Spis18831.t1
OG0001880			
OG0001887	Montipora_capitata_HIv3___RNAseq.g33558.t1	Pocillopora_acuta_HIv2___RNAseq.g18397.t1	Spis19519
OG0001892			
OG0001895	Montipora_capitata_HIv3___RNAseq.g19223.t1	Pocillopora_acuta_HIv2___RNAseq.1177_t	Spis17785.t2
OG0001896	Montipora_capitata_HIv3___RNAseq.g12736.t1	Pocillopora_acuta_HIv2___TS.g21184.t2	Spis2410
OG0001898	Montipora_capitata_HIv3___RNAseq.g46517.t1	Pocillopora_acuta_HIv2___RNAseq.g5081.t1	Spis14281
OG0001901			
OG0001903	Montipora_capitata_HIv3___RNAseq.g15943.t1	Pocillopora_acuta_HIv2___RNAseq.g4327.t1	Spis14181
OG0001910		Pocillopora_acuta_HIv2___TS.g3225.t1	
OG0001917	Montipora_capitata_HIv3___RNAseq.g35463.t2	Pocillopora_acuta_HIv2___TS.g24593.t1	Spis10348
OG0001922	Montipora_capitata_HIv3___RNAseq.g15061.t1	Pocillopora_acuta_HIv2___RNAseq.g13965.t1	Spis19266
OG0001923	Montipora_capitata_HIv3___RNAseq.g16480.t1	Pocillopora_acuta_HIv2___TS.g23605.t2	Spis5787
OG0001924			
OG0001934	Montipora_capitata_HIv3___RNAseq.g23574.t1	Pocillopora_acuta_HIv2___RNAseq.10610_t	Spis6049
OG0001938	Montipora_capitata_HIv3___RNAseq.g5007.t1	Pocillopora_acuta_HIv2___TS.g26651.t1	Spis9610
OG0001944			
OG0001948	Montipora_capitata_HIv3___RNAseq.g6165.t1	Pocillopora_acuta_HIv2___RNAseq.g7310.t1	
OG0001956			
OG0001957	Montipora_capitata_HIv3___TS.g40750.t4	Pocillopora_acuta_HIv2___RNAseq.g28879.t1	Spis7708
OG0001965			
OG0001973	Montipora_capitata_HIv3___RNAseq.g36869.t1	Pocillopora_acuta_HIv2___TS.g2576.t2	Spis6264.t1
OG0001976			
OG0001982			
OG0001983	Montipora_capitata_HIv3___RNAseq.g50198.t1	Pocillopora_acuta_HIv2___RNAseq.g2515.t1	Spis916
OG0001986			
OG0001987		Pocillopora_acuta_HIv2___RNAseq.g28036.t2	Spis3854
OG0001994	Montipora_capitata_HIv3___RNAseq.g7407.t1	Pocillopora_acuta_HIv2___RNAseq.g14452.t1	Spis17685
OG0002000	Montipora_capitata_HIv3___RNAseq.g41158.t1	Pocillopora_acuta_HIv2___TS.g27659.t1	Spis274
OG0002004			
OG0002005	Montipora_capitata_HIv3___TS.g29106.t2	Pocillopora_acuta_HIv2___RNAseq.g15125.t1	Spis18898
OG0002007	Montipora_capitata_HIv3___RNAseq.g5087.t1	Pocillopora_acuta_HIv2___RNAseq.g1671.t1	Spis9841
OG0002010	Montipora_capitata_HIv3___RNAseq.g30085.t1	Pocillopora_acuta_HIv2___RNAseq.g19213.t1a	Spis9055
OG0002012	Montipora_capitata_HIv3___RNAseq.g50193.t1	Pocillopora_acuta_HIv2___RNAseq.g2524.t1	Spis906
OG0002022	Montipora_capitata_HIv3___RNAseq.g20434.t1	Pocillopora_acuta_HIv2___RNAseq.g28414.t1	Spis5634
OG0002023	Montipora_capitata_HIv3___RNAseq.g19576.t1	Pocillopora_acuta_HIv2___TS.g29356.t2	Spis15654
OG0002029			
OG0002033	Montipora_capitata_HIv3___RNAseq.g28067.t1	Pocillopora_acuta_HIv2___RNAseq.g19647.t1	Spis2971
OG0002035	Montipora_capitata_HIv3___RNAseq.g45927.t1	Pocillopora_acuta_HIv2___RNAseq.g17955.t1	Spis18766
OG0002038			
OG0002040	Montipora_capitata_HIv3___TS.g11096.t2	Pocillopora_acuta_HIv2___RNAseq.g4464.t1	Spis22697.t1
OG0002046	Montipora_capitata_HIv3___RNAseq.g27618.t1	Pocillopora_acuta_HIv2___RNAseq.g9451.t1	Spis7261
