Unique_ID,Protein.Accession,Larva_4,Larva_5,Larva_6,Larva_8,Larva_9,Spat_2,Spat_3,Spat_4,Spat_5,Spat_6
Spis_Protein42,A0A2B4R4E2,223389969.3,85773728.28,80582332.69,226086602.6,946593.2367,20893307.87,226454552.4,22967676.5,2375846.383,86372743.76
Spis_Protein43,A0A2B4R4F0,3620352.558,775425.7569,979.5699234,668348.998,67889.70045,86834.09895,2756697.828,2808782.678,9683403.28,330478.7877
Spis_Protein44,A0A2B4R4I5,68043.20004,778535.7333,47552.96031,560674.3495,887505.6793,754942.5849,0.001,239226.9578,0.001,0.207020043
Spis_Protein45,A0A2B4R4K8,38336.80254,2296.986387,39547.36567,6528.675887,4620.62246,6793.469593,6434.43764,532584.2379,44388.96428,7844.575752
Spis_Protein46,A0A2B4R4K9,586972.4843,45722.5297,633242.2522,599306.3094,604693.6398,404757.8254,42902.35565,524459.2353,34757.89571,505852.951
Spis_Protein47,A0A2B4R4L6,32476.68886,5405466.793,9530.923531,4544.069725,455545.9494,538422.6494,4357654.751,552604.9743,259869.5993,64232.20323
Spis_Protein48,A0A2B4R4L9,23740089.98,4464543.494,6307650.205,287439.7363,87377256.4,2989890.383,44008022.55,2332476.006,2937607.563,42569787.97
Spis_Protein49,A0A2B4R4N1,907074.2536,64406.55557,72862.60671,52647.53807,505873.046,59887.4795,56222.37792,720275.3522,3625.752603,773330.8096
Spis_Protein50,A0A2B4R4P4,752067.94,2323099.067,83664.36847,2606996.498,432842.8826,2026825.431,2022368.784,282255.0659,2270400.379,505035.5346
Spis_Protein51,A0A2B4R4S8,48053.59956,0.882700677,2757.778894,0.854096784,3355.4739,809972.7789,486290.375,702958.7893,53976.3324,63774.94756
Spis_Protein52,A0A2B4R4U3,0.956324656,266726.2588,0.553085826,978706.3334,0.682568995,25004.42391,0.60704232,358390.3984,34376.60624,0.827746988
Spis_Protein53,A0A2B4R4V1,3829485.383,4222880.943,494745.5003,422085.2346,93943.83446,6650270.528,424609.947,522086.2842,3349842.995,3632559.403
Spis_Protein54,A0A2B4R4Y4|A0A2B4R654,373334.2674,6939454.549,4587450.044,3685753.254,3055967.208,575963.4998,286064.7969,728769.925,3599229.886,9050880.823
Spis_Protein55,A0A2B4R514,64764.53948,2035975.46,769906.0323,82634.54576,694699.8438,694276.4389,55373.80547,855229.0606,72489.26338,840327.4686
Spis_Protein56,A0A2B4R520,9206820.702,234663.957,2035297.263,347988.8898,897470.6489,344934.6873,3269032.655,238428.9904,496539.4223,49544.08007
