gene_id,AH1,AH2,AH3,AH4,AH5,AH6,AH7,AH8,AH9
Montipora_capitata_HIv3___RNAseq.g12823.t1,1067,1390,1400,1316,1035,1241,373,419,572
Montipora_capitata_HIv3___RNAseq.g12140.t1,15,13,15,30,29,15,87,78,87
Montipora_capitata_HIv3___RNAseq.g12129.t1,7,27,12,5,8,16,37,35,80
Montipora_capitata_HIv3___TS.g37064.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g37621.t1,71,59,82,75,51,100,112,178,311
Montipora_capitata_HIv3___RNAseq.g48200.t1,868,896,963,817,833,986,398,621,536
Montipora_capitata_HIv3___RNAseq.g50406.t1,2,4,1,1,8,4,11,8,13
Montipora_capitata_HIv3___RNAseq.g1727.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g35908.t1,3,2,2,3,5,1,2,5,6
Montipora_capitata_HIv3___RNAseq.g45417.t1,38,50,41,54,69,61,38,37,85
Montipora_capitata_HIv3___TS.g13270.t1,180,250,262,288,185,165,208,206,466
Montipora_capitata_HIv3___RNAseq.g27697.t1,0,0,5,8,0,2,0,13,11
Montipora_capitata_HIv3___RNAseq.g16540.t1,6,9,5,5,17,11,4,10,46
Montipora_capitata_HIv3___RNAseq.g16464.t1,28,45,15,31,33,23,31,75,108
Montipora_capitata_HIv3___RNAseq.g22323.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g37009.t1a,1168,1545,1690,1117,880,1316,548,519,670
Montipora_capitata_HIv3___RNAseq.39533_t,0,0,0,0,14,0,0,0,5
Montipora_capitata_HIv3___TS.g14604.t1,283,381,356,317,183,327,149,185,172
Montipora_capitata_HIv3___RNAseq.g15798.t1,7,20,22,9,4,11,5,18,8
Montipora_capitata_HIv3___RNAseq.g12806.t1,852,1026,1043,1241,1146,1336,299,401,486
Montipora_capitata_HIv3___RNAseq.g32070.t2,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g35286.t1,546,724,826,838,607,845,250,249,286
Montipora_capitata_HIv3___TS.g36074.t1,2,3,1,0,2,3,0,0,3
Montipora_capitata_HIv3___RNAseq.g35477.t1,2608,3272,2860,2510,2329,2810,461,1222,2424
Montipora_capitata_HIv3___RNAseq.g34646.t1a,4,6,6,4,2,5,1,3,4
Montipora_capitata_HIv3___RNAseq.g22632.t1,0,6,4,0,1,2,5,3,0
Montipora_capitata_HIv3___RNAseq.g14614.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g45415.t1,4462,4952,4902,5001,4116,4655,4447,5262,5963
Montipora_capitata_HIv3___RNAseq.g1134.t1a,1636,1967,1858,1635,1605,1889,936,1069,1168
Montipora_capitata_HIv3___RNAseq.g1134.t1b,406,506,581,456,418,408,581,560,447
Montipora_capitata_HIv3___TS.g49915.t1,0,4,0,0,0,0,0,1,9
Montipora_capitata_HIv3___RNAseq.g3308.t1,553,677,524,589,464,589,245,428,349
Montipora_capitata_HIv3___TS.g37066.t1,0,0,0,0,0,0,25,0,56
Montipora_capitata_HIv3___RNAseq.g23849.t1,0,0,0,7,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g15730.t1,53,51,111,94,65,70,42,57,53
Montipora_capitata_HIv3___TS.g10804.t1,3,4,3,2,3,3,3,0,3
Montipora_capitata_HIv3___RNAseq.g1520.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g44048.t1,1000,1082,1260,1076,989,1121,233,277,586
Montipora_capitata_HIv3___RNAseq.g36479.t1,5,10,10,7,6,6,5,8,9
Montipora_capitata_HIv3___TS.g19914.t1,0,0,32,35,37,29,0,0,0
Montipora_capitata_HIv3___RNAseq.g30899.t1,818,872,951,888,756,907,204,348,332
Montipora_capitata_HIv3___RNAseq.g31860.t1,3,3,0,3,2,4,4,8,14
Montipora_capitata_HIv3___RNAseq.g49526.t1,1,0,0,0,0,0,0,0,4
Montipora_capitata_HIv3___RNAseq.g16374.t1,1,1,2,2,1,4,2,3,2
Montipora_capitata_HIv3___RNAseq.g26226.t1,61,70,55,45,56,59,43,73,91
Montipora_capitata_HIv3___RNAseq.g7919.t1,3,2,0,1,2,5,0,2,4
Montipora_capitata_HIv3___RNAseq.g12821.t1,197,189,218,230,210,233,23,44,72
Montipora_capitata_HIv3___RNAseq.g23813.t1,3,6,5,0,0,5,8,15,12
Montipora_capitata_HIv3___TS.g17114.t1,0,0,0,0,0,0,3,12,5
Montipora_capitata_HIv3___RNAseq.g35778.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g49075.t1,0,9,12,0,9,4,5,0,0
Montipora_capitata_HIv3___RNAseq.g6581.t1,1045,1311,1326,1210,1309,1416,491,705,629
Montipora_capitata_HIv3___RNAseq.g16651.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g25533.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g2325.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g18328.t1,3174,3725,3864,4286,3486,3984,712,611,1021
Montipora_capitata_HIv3___RNAseq.g31716.t1,0,0,0,0,0,0,3,0,0
Montipora_capitata_HIv3___TS.g11283.t1b,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g23774.t1,22,58,24,38,13,56,15,41,26
Montipora_capitata_HIv3___TS.g11283.t1a,0,0,0,0,0,0,0,0,5
Montipora_capitata_HIv3___RNAseq.g6888.t1,0,1,2,0,1,1,2,2,8
Montipora_capitata_HIv3___TS.g33549.t1,7,15,24,8,9,15,11,0,0
Montipora_capitata_HIv3___RNAseq.g39921.t1,0,5,0,5,0,0,2,0,7
Montipora_capitata_HIv3___TS.g10285.t1,5,6,15,10,10,6,18,14,22
Montipora_capitata_HIv3___RNAseq.g39430.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g24150.t1,0,3,0,1,1,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g50615.t1,3,0,2,0,3,2,2,3,16
Montipora_capitata_HIv3___RNAseq.g3299.t1,822,1063,1003,810,844,1148,629,997,954
Montipora_capitata_HIv3___TS.g23217.t1,842,1032,1123,1082,769,1030,967,936,1204
Montipora_capitata_HIv3___RNAseq.g22321.t1,22,21,48,34,28,19,10,5,17
Montipora_capitata_HIv3___RNAseq.g34005.t1,7,12,5,6,5,3,3,6,14
Montipora_capitata_HIv3___RNAseq.g24240.t1,144,168,173,155,202,224,131,267,370
Montipora_capitata_HIv3___RNAseq.g2611.t1,0,0,0,0,0,0,0,0,11
Montipora_capitata_HIv3___TS.g33553.t1,213,284,260,269,198,273,18,18,45
Montipora_capitata_HIv3___RNAseq.g27503.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g509.t1,442,698,584,578,505,559,111,143,271
Montipora_capitata_HIv3___RNAseq.g23422.t1,9,0,24,15,14,0,17,29,28
Montipora_capitata_HIv3___RNAseq.g31714.t1,13,5,2,2,5,2,4,2,8
Montipora_capitata_HIv3___RNAseq.g2327.t1,0,3,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g34.t1,10,4,8,5,10,11,3,7,4
Montipora_capitata_HIv3___RNAseq.g41721.t1,57,86,25,18,38,30,123,165,221
Montipora_capitata_HIv3___RNAseq.g16942.t1,0,0,0,0,0,4,0,0,0
Montipora_capitata_HIv3___TS.g27083.t1,934,1079,1051,1140,932,1177,534,613,863
Montipora_capitata_HIv3___RNAseq.g4248.t1,16,14,14,20,13,11,0,0,1
Montipora_capitata_HIv3___RNAseq.g33810.t1,3,0,5,1,4,9,5,0,12
Montipora_capitata_HIv3___TS.g22268.t4,776,843,830,898,705,1057,700,908,879
Montipora_capitata_HIv3___RNAseq.g11505.t1,9,9,11,14,9,2,0,0,7
Montipora_capitata_HIv3___RNAseq.g18872.t1,33,17,16,33,27,29,20,12,57
Montipora_capitata_HIv3___RNAseq.g30286.t1,14,14,20,25,8,10,61,37,54
Montipora_capitata_HIv3___TS.g32517.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g20776.t1,44,55,63,48,46,55,42,65,80
Montipora_capitata_HIv3___RNAseq.g49504.t1,3,5,5,10,1,10,0,0,4
Montipora_capitata_HIv3___RNAseq.g11199.t1,0,0,0,0,0,0,0,0,0
