gene_id,SRR3051863,SRR3051864,SRR3051865,SRR3051866,SRR3051867,SRR3051868,SRR3051869,SRR3051870,SRR3051871
Pocillopora_acuta_HIv2___RNAseq.g6092.t1,0,0,0,0,0,0,10,0,7
Pocillopora_acuta_HIv2___RNAseq.g8945.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g30067.t1,15,0,34,19,11,36,17,20,4
Pocillopora_acuta_HIv2___RNAseq.g16589.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g11543.t1,1183,1586,1648,1553,1721,1110,1213,926,970
Pocillopora_acuta_HIv2___TS.g20278.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g26849.t1,0,3,5,5,6,0,17,0,6
Pocillopora_acuta_HIv2___RNAseq.g16844.t1,271,312,468,109,177,123,211,209,224
Pocillopora_acuta_HIv2___RNAseq.g28639.t1,295,265,326,343,301,664,182,145,166
Pocillopora_acuta_HIv2___TS.g6838.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g21586.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g15068.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g9838.t1,435,478,648,101,146,154,442,415,501
Pocillopora_acuta_HIv2___RNAseq.g17400.t1,816,1153,1306,425,534,714,902,921,1058
Pocillopora_acuta_HIv2___RNAseq.g14384.t1a,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g14384.t1b,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g9577.t1,12,28,29,27,34,39,12,12,18
Pocillopora_acuta_HIv2___RNAseq.g14228.t1,27,25,36,31,31,41,49,82,51
Pocillopora_acuta_HIv2___RNAseq.g4465.t1,744,966,1267,1127,1267,1299,1229,1051,1194
Pocillopora_acuta_HIv2___RNAseq.g20032.t1,207,389,473,370,377,461,861,759,723
Pocillopora_acuta_HIv2___RNAseq.g30595.t1,331,524,521,159,160,256,388,416,410
Pocillopora_acuta_HIv2___RNAseq.g3392.t1,18,13,11,0,0,0,2,0,54
Pocillopora_acuta_HIv2___TS.g27171.t2,302,371,340,471,727,438,188,147,234
Pocillopora_acuta_HIv2___RNAseq.g17659.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g6714.t1,0,1,0,4,0,0,480,516,468
Pocillopora_acuta_HIv2___TS.g12743.t1b,22,45,29,6,5,12,38,38,27
Pocillopora_acuta_HIv2___RNAseq.g12089.t1,19,15,40,8,31,26,13,11,50
Pocillopora_acuta_HIv2___RNAseq.g11010.t1,10,0,27,16,33,0,0,0,4
Pocillopora_acuta_HIv2___RNAseq.g28504.t1,0,24,0,12,0,46,19,27,24
Pocillopora_acuta_HIv2___RNAseq.g3063.t2,807,914,1165,393,444,547,617,621,684
Pocillopora_acuta_HIv2___RNAseq.g31106.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27463.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g9688.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g13157.t1,1684,2103,2609,5420,6694,4851,2401,2516,2595
Pocillopora_acuta_HIv2___RNAseq.g14396.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g21584.t1,307,374,519,290,363,264,359,287,316
Pocillopora_acuta_HIv2___RNAseq.g27079.t1,485,704,800,443,369,498,671,617,523
Pocillopora_acuta_HIv2___RNAseq.g1454.t1,0,0,0,0,0,0,0,0,2
Pocillopora_acuta_HIv2___RNAseq.g24234.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g26609.t2,1512,2293,2560,1290,1355,1622,1925,2128,1874
Pocillopora_acuta_HIv2___RNAseq.g5811.t1,479,799,923,193,155,415,544,424,535
Pocillopora_acuta_HIv2___TS.g26822.t1,425,559,542,211,267,351,733,687,602
Pocillopora_acuta_HIv2___RNAseq.g21266.t1,0,19,13,15811,23734,8069,3177,3190,3221
Pocillopora_acuta_HIv2___RNAseq.g22504.t1,9,29,12,0,0,0,0,0,13
Pocillopora_acuta_HIv2___RNAseq.g7709.t1,523,641,823,150,173,215,621,617,444
Pocillopora_acuta_HIv2___RNAseq.g18059.t1,85,125,176,1012,1060,605,110,104,144
Pocillopora_acuta_HIv2___TS.g8550.t1a,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g8550.t1b,10,22,21,4,5,10,10,8,11
Pocillopora_acuta_HIv2___RNAseq.g8175.t3,766,1292,1577,312,259,350,626,800,727
